"Rank","Address","XDP Allocation","Raw Amount","Block","Tx Hash"
"1557","0x956647ef4f3f7cdcb1cb42cec653f63ce104f84e","1635.362037562553818229","1635362037562553818229","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1558","0xb6d685098b2fb1ade7a03a3f5a99c94ab08f16bb","1634.845769620929724783","1634845769620929724783","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1559","0x9532c766228ab868a8a8b9b8aca8cdb000f07244","1627.483901456209322295","1627483901456209322295","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1560","0x849be83ac05313c09b38a747e3ca70bf42b100af","1614.025401440213231665","1614025401440213231665","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1561","0x80586981a80000ac8951e204ae6a627e052fb08f","1609.379097080729580518","1609379097080729580518","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1562","0x20a1e9b0f535ddbfe442d415119bdb3d58dae037","1600.532209504443744428","1600532209504443744428","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1563","0x671bbeee5bb6ad9c304bf16122ed77ac5a2e91a9","1598.196442290068091331","1598196442290068091331","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1564","0x0599f8a8ffab1bff75088b06dd7fd875ea7487a9","1595.869830544351947861","1595869830544351947861","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1565","0xfd723c9df58bdfdd836361717bb50624f0009522","1591.752941799731078011","1591752941799731078011","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1566","0xc971f6e21b7bf4ce460bd2e113a94fa850918918","1586.259737709607996767","1586259737709607996767","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1567","0xb94ba81598cef8c5679af6c3b4037a8248999453","1586.089013589819696566","1586089013589819696566","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1568","0x73e9032a317bdf7a2e3eabc4ae96ddbf405a0a2c","1583.125763554957978391","1583125763554957978391","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1569","0x97ff9e9397b0c0a579b4381fdbf13cecae8e7b29","1579.774620224723589668","1579774620224723589668","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1570","0xc6fe3591d6f516e17ec73671874a1785d78e215d","1574.822079030817139152","1574822079030817139152","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1571","0x867b9a75b8e468ca6d482811993300e3d35489c4","1564.055462886975852163","1564055462886975852163","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1572","0x88f1a936bbbcf1d6f02d76499ea6962ef5960550","1562.812470829930870132","1562812470829930870132","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1573","0x00754b02cf82146acccd9a67b32c5730cc20f841","1558.878313529158800891","1558878313529158800891","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1574","0x04d529b7ada2364b20bbcc7f500a7e2db4726d51","1554.34027725220703363","1554340277252207033630","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1575","0x68401ca90445985a4cb700ff661c05a875620f90","1554.279724691608388984","1554279724691608388984","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1576","0xffd5d6db6fb80d0586f143d7acbf36817d301f28","1545.484258816741970519","1545484258816741970519","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1577","0x063c2cb6aa70fcb1410f2f455f153d0664e92369","1542.83286779016701151","1542832867790167011510","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
"1578","0x86ed7a01c76cb1231f911b38b2ad4bcc556ccb75","1538.218256690093544326","1538218256690093544326","51115417","0x2f68b8301414dda79c34f6d7a855642ec1958fc28e9ccc650b2019bd9b684260"
